Visitor,TS_Design_Selected,TS_Design_Name,TS_Reward,TS_Regret,TS_Cumul_Reward,Random_Design_Selected,Random_Reward,Random_Regret,Random_Cumul_Reward
67,1,Urgency — 'Only 12 left!',0,0.20000000000000007,25,3,0,0.10000000000000003,18
68,3,Doctor endorsement + quote,1,0.10000000000000003,26,2,0,0.25000000000000006,18
69,3,Doctor endorsement + quote,0,0.10000000000000003,26,4,0,0.0,18
70,4,Free shipping + money-back,0,0.0,26,0,1,0.35000000000000003,19
71,4,Free shipping + money-back,1,0.0,27,0,0,0.35000000000000003,19
72,2,"Social proof — 4,200 reviews",0,0.25000000000000006,27,0,0,0.35000000000000003,19
73,1,Urgency — 'Only 12 left!',0,0.20000000000000007,27,2,0,0.25000000000000006,19
74,4,Free shipping + money-back,0,0.0,27,3,0,0.10000000000000003,19
75,4,Free shipping + money-back,0,0.0,27,3,1,0.10000000000000003,20
76,4,Free shipping + money-back,0,0.0,27,1,0,0.20000000000000007,20
77,1,Urgency — 'Only 12 left!',0,0.20000000000000007,27,1,0,0.20000000000000007,20
78,3,Doctor endorsement + quote,0,0.10000000000000003,27,3,0,0.10000000000000003,20
79,4,Free shipping + money-back,0,0.0,27,0,0,0.35000000000000003,20
80,4,Free shipping + money-back,1,0.0,28,2,1,0.25000000000000006,21
81,4,Free shipping + money-back,0,0.0,28,3,1,0.10000000000000003,22
82,4,Free shipping + money-back,1,0.0,29,2,0,0.25000000000000006,22
83,4,Free shipping + money-back,0,0.0,29,4,0,0.0,22
84,3,Doctor endorsement + quote,1,0.10000000000000003,30,0,0,0.35000000000000003,22
85,4,Free shipping + money-back,1,0.0,31,4,1,0.0,23
86,1,Urgency — 'Only 12 left!',0,0.20000000000000007,31,3,1,0.10000000000000003,24
87,3,Doctor endorsement + quote,0,0.10000000000000003,31,1,0,0.20000000000000007,24
88,4,Free shipping + money-back,0,0.0,31,3,0,0.10000000000000003,24
89,4,Free shipping + money-back,0,0.0,31,4,0,0.0,24
90,1,Urgency — 'Only 12 left!',0,0.20000000000000007,31,2,0,0.25000000000000006,24
91,1,Urgency — 'Only 12 left!',1,0.20000000000000007,32,3,0,0.10000000000000003,24
92,2,"Social proof — 4,200 reviews",1,0.25000000000000006,33,1,0,0.20000000000000007,24
93,3,Doctor endorsement + quote,0,0.10000000000000003,33,4,1,0.0,25
94,2,"Social proof — 4,200 reviews",0,0.25000000000000006,33,3,1,0.10000000000000003,26
95,1,Urgency — 'Only 12 left!',0,0.20000000000000007,33,4,1,0.0,27
96,3,Doctor endorsement + quote,1,0.10000000000000003,34,4,1,0.0,28
97,1,Urgency — 'Only 12 left!',0,0.20000000000000007,34,0,0,0.35000000000000003,28
98,4,Free shipping + money-back,1,0.0,35,2,0,0.25000000000000006,28
99,3,Doctor endorsement + quote,0,0.10000000000000003,35,0,0,0.35000000000000003,28
100,4,Free shipping + money-back,1,0.0,36,4,1,0.0,29
101,3,Doctor endorsement + quote,0,0.10000000000000003,36,1,0,0.20000000000000007,29
102,4,Free shipping + money-back,1,0.0,37,1,1,0.20000000000000007,30
103,4,Free shipping + money-back,1,0.0,38,0,0,0.35000000000000003,30
104,4,Free shipping + money-back,1,0.0,39,1,1,0.20000000000000007,31
105,4,Free shipping + money-back,1,0.0,40,4,1,0.0,32
106,4,Free shipping + money-back,0,0.0,40,3,0,0.10000000000000003,32
107,1,Urgency — 'Only 12 left!',0,0.20000000000000007,40,4,0,0.0,32
108,3,Doctor endorsement + quote,0,0.10000000000000003,40,3,0,0.10000000000000003,32
109,0,Plain product info page,0,0.35000000000000003,40,1,1,0.20000000000000007,33
110,0,Plain product info page,0,0.35000000000000003,40,2,1,0.25000000000000006,34
111,3,Doctor endorsement + quote,1,0.10000000000000003,41,2,0,0.25000000000000006,34
112,4,Free shipping + money-back,1,0.0,42,4,1,0.0,35
113,4,Free shipping + money-back,1,0.0,43,4,1,0.0,36
114,4,Free shipping + money-back,1,0.0,44,1,0,0.20000000000000007,36
115,3,Doctor endorsement + quote,0,0.10000000000000003,44,2,0,0.25000000000000006,36
116,4,Free shipping + money-back,1,0.0,45,2,0,0.25000000000000006,36
117,1,Urgency — 'Only 12 left!',0,0.20000000000000007,45,4,0,0.0,36
118,3,Doctor endorsement + quote,0,0.10000000000000003,45,2,0,0.25000000000000006,36
119,4,Free shipping + money-back,1,0.0,46,4,1,0.0,37
120,4,Free shipping + money-back,0,0.0,46,0,0,0.35000000000000003,37
